Muon_Eta,Model_WToMu_PA,
-2.4_-2.2,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-2.2_-2.0,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-2.0_-1.8,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-1.8_-1.6,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-1.6_-1.4,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-1.4_-1.2,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-1.2_-1.0,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-1.0_-0.8,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-0.8_-0.6,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-0.6_-0.4,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-0.4_-0.2,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-0.2_-0.0,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-0.0_+0.2,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+0.2_+0.4,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+0.4_+0.6,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+0.6_+0.8,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+0.8_+1.0,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+1.0_+1.2,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+1.2_+1.4,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+1.4_+1.6,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+1.6_+1.8,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+1.8_+2.0,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+2.0_+2.2,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
+2.2_+2.4,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
-2.4_+2.4,TEMP[W;DY;WToTau;TTbar]+MultiJetBkg[QCD],
