Muon_EtaCM,Model_QCDToMu_PA,Sigma0_QCDToMuPl_PA,Sigma0_QCDToMuMi_PA,Sigma1_QCDToMuPl_PA,Sigma1_QCDToMuMi_PA,Sigma2_QCDToMuPl_PA,Sigma2_QCDToMuMi_PA,
-2.86_-2.60,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-2.60_-2.40,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-2.40_-2.20,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-2.20_-2.00,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-2.00_-1.80,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-1.80_-1.60,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-1.60_-1.40,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-1.40_-1.20,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-1.20_-1.00,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-1.00_-0.80,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-0.80_-0.60,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-0.60_-0.40,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-0.40_-0.20,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-0.20_-0.00,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-0.00_+0.20,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+0.20_+0.40,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+0.40_+0.60,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+0.60_+0.80,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+0.80_+1.00,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+1.00_+1.20,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+1.20_+1.40,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+1.40_+1.60,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+1.60_+1.80,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
+1.80_+1.93,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
-2.86_+1.93,ModifiedRayleigh,[11.36674],[11.69505],[0.17806],[0.16978],[0.00017],[0.00010],
