Muon_EtaCM,Model_QCDToMu_PA,Sigma0_QCDToMuPl_PA,Sigma0_QCDToMuMi_PA,Sigma1_QCDToMuPl_PA,Sigma1_QCDToMuMi_PA,Sigma2_QCDToMuPl_PA,Sigma2_QCDToMuMi_PA,
-1.93_-1.80,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-1.80_-1.60,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-1.60_-1.40,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-1.40_-1.20,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-1.20_-1.00,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-1.00_-0.80,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-0.80_-0.60,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-0.60_-0.40,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-0.40_-0.20,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-0.20_-0.00,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-0.00_+0.20,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+0.20_+0.40,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+0.40_+0.60,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+0.60_+0.80,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+0.80_+1.00,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+1.00_+1.20,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+1.20_+1.40,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+1.40_+1.60,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+1.60_+1.80,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+1.80_+1.93,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+1.93_+2.20,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+2.20_+2.40,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+2.40_+2.60,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
+2.60_+2.86,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
-1.93_+2.86,ModifiedRayleigh,[14.71788],[14.59127],[6.76111],[6.29659],[0.47233],[0.49392],
