Muon_EtaCM,Model_ZToMu_PA,
-2.86_-2.60,TEMP[DY;DYToTau;TTbar],
-2.60_-2.40,TEMP[DY;DYToTau;TTbar],
-2.40_-2.20,TEMP[DY;DYToTau;TTbar],
-2.20_-1.93,TEMP[DY;DYToTau;TTbar],
-1.93_-1.80,TEMP[DY;DYToTau;TTbar],
-1.80_-1.60,TEMP[DY;DYToTau;TTbar],
-1.60_-1.40,TEMP[DY;DYToTau;TTbar],
-1.40_-1.20,TEMP[DY;DYToTau;TTbar],
-1.20_-1.00,TEMP[DY;DYToTau;TTbar],
-1.00_-0.80,TEMP[DY;DYToTau;TTbar],
-0.80_-0.60,TEMP[DY;DYToTau;TTbar],
-0.60_-0.40,TEMP[DY;DYToTau;TTbar],
-0.40_-0.20,TEMP[DY;DYToTau;TTbar],
-0.20_-0.00,TEMP[DY;DYToTau;TTbar],
-0.00_+0.20,TEMP[DY;DYToTau;TTbar],
+0.20_+0.40,TEMP[DY;DYToTau;TTbar],
+0.40_+0.60,TEMP[DY;DYToTau;TTbar],
+0.60_+0.80,TEMP[DY;DYToTau;TTbar],
+0.80_+1.00,TEMP[DY;DYToTau;TTbar],
+1.00_+1.20,TEMP[DY;DYToTau;TTbar],
+1.20_+1.40,TEMP[DY;DYToTau;TTbar],
+1.40_+1.60,TEMP[DY;DYToTau;TTbar],
+1.60_+1.80,TEMP[DY;DYToTau;TTbar],
+1.80_+1.93,TEMP[DY;DYToTau;TTbar],
-2.86_+1.93,TEMP[DY;DYToTau;TTbar],
